,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
75,TL Suman,3.7499999999999996,1.7580919931856898,0.0,0.1367521367521368,0.15384615384615385,0.11612903225806452,3.1886842105263153,5.644844129937827,-331.8120109050542,Batsman
76,AM Nayar,2.29,1.714285714285714,0.0,0.03333333333333336,0.18,0.17419354838709677,3.127154811715481,4.037619047619048,-330.77797745984617,Bowler
77,GJ Bailey,4.15625,2.0054347826086953,0.0,0.21296296296296294,0.0,0.0,0.0,6.374647745571658,-335.0,Batsman
78,SA Yadav,2.678571428571428,2.346555323590814,0.0,0.09523809523809527,0.0,0.0,3.15,5.120364847400337,-329.275,Batsman
79,AR Patel,2.660714285714285,2.133603238866396,0.0,0.0,0.9830508474576272,1.1225806451612903,3.2707499999999996,4.794317524580681,-325.93542776107165,Bowler
80,JD Ryder,5.060344827586207,2.4806866952789703,0.0,0.4597701149425288,0.27586206896551724,0.15483870967741936,3.188340248962655,8.000801637807706,-327.5714384585916,Batsman
81,HM Amla,10.7734375,2.901913875598086,0.15625,0.9166666666666666,0.0,0.0,0.0,14.748268042264753,-332.0,Batsman
82,AD Russell,5.86,4.2,0.24,0.30666666666666664,0.9117647058823528,0.6,3.05516129032258,10.606666666666667,-325.1496110056926,AllRounder
83,RR Pant,6.0625,3.4015748031496074,0.125,0.3194444444444444,0.0,0.0,0.0,9.908519247594052,-331.0,Batsman
84,RS Bopara,6.301136363636365,1.6730769230769211,0.0,0.25757575757575757,0.5,0.21290322580645163,3.0494366197183096,8.231789044289044,-324.3564902317129,Batsman
85,JC Buttler,5.5,3.039999999999998,0.04166666666666663,0.361111111111111,0.0,0.0,0.0,8.942777777777774,-329.0,Batsman
86,JP Faulkner,1.6416666666666657,2.4901477832512326,0.0,0.0,1.0166666666666666,1.1806451612903226,3.0197902097902096,4.131814449917899,-321.1743469433792,Bowler
87,CJ Anderson,4.7644230769230775,2.2922705314009653,0.07692307692307676,0.17948717948717943,0.3076923076923077,0.15483870967741936,2.8451351351351355,7.313103864734299,-323.0385007712427,Batsman
88,PP Chawla,1.0,1.5139186295503215,0.0,0.0,0.984375,2.438709677419355,3.219784117193523,2.5139186295503215,-318.0356968080807,Bowler
89,M Manhas,2.3223684210526327,1.2880658436213992,0.0,0.04385964912280701,0.0,0.0,3.5699999999999994,3.6542939137968387,-321.645,Bowler
90,OA Shah,5.875,2.246913580246914,0.022727272727272707,0.1818181818181818,0.0,0.0,0.0,8.32645903479237,-326.0,Batsman
91,PC Valthaty,5.483695652173913,1.844907407407407,0.0,0.5507246376811593,0.3043478260869565,0.13548387096774195,3.1252941176470586,7.87932769726248,-319.6523112779474,Batsman
92,Shakib Al Hasan,3.109375,2.234413965087282,0.0,0.125,1.0238095238095235,0.832258064516129,3.3358289334741285,5.468788965087282,-317.21215521730034,Bowler
93,KH Pandya,6.723684210526315,3.6677316293929705,0.02631578947368418,0.47368421052631593,0.6666666666666666,0.3096774193548387,3.346636363636363,10.891415839919286,-318.51552932551317,AllRounder
94,CH Morris,3.129464285714285,3.9818181818181815,0.0,0.059523809523809534,1.125,1.0451612903225806,3.249558541266794,7.170806277056276,-316.87042025261593,AllRounder
95,N Rana,8.174999999999999,2.154929577464788,0.33333333333333337,0.3555555555555556,0.0,0.0,4.199999999999999,11.018818466353677,-317.7,AllRounder
96,NLTC Perera,2.55,2.5030674846625773,0.0,0.0,0.8611111111111112,0.6,3.013132867132866,5.053067484662577,-317.28863403263404,Bowler
97,SA Asnodkar,5.598684210526315,2.008522727272728,0.0,0.6491228070175438,0.0,0.0,0.0,8.256329744816588,-323.0,Batsman
98,DT Christian,2.330645161290323,1.982905982905983,0.0,0.0,0.8333333333333334,0.5806451612903226,3.2174698795180725,4.313551144196306,-316.0528274387874,Bowler
99,JR Hopes,5.480263157894735,2.6401273885350323,0.0,0.5263157894736842,0.7,0.2709677419354839,2.9109756097560964,8.646706335903453,-316.17708497246264,Batsman
100,KS Williamson,7.5249999999999995,2.323076923076924,0.0,0.44444444444444436,0.0,0.0,3.36,10.292521367521369,-315.96000000000004,Batsman
101,J Botha,2.7276785714285716,1.6181318681318686,0.0,0.13095238095238093,0.7352941176470589,0.4838709677419355,3.376290550070521,4.476762820512821,-314.1068165468107,Bowler
102,HH Pandya,1.8636363636363642,2.633986928104575,0.0,0.0,0.30303030303030304,0.19354838709677422,2.9752799999999997,4.49762329174094,-315.7922119648094,Bowler
103,LR Shukla,1.8522727272727275,1.6564245810055858,0.0,0.0,0.4545454545454545,0.2903225806451613,3.0598159509202447,3.5086973082783133,-315.2929740208337,Bowler
104,AL Menaria,3.7880434782608696,1.4632152588555862,0.0,0.014492753623188396,0.13043478260869565,0.05806451612903226,3.2243362831858406,5.265751490739644,-314.88074662711466,Batsman
105,MV Boucher,3.6739130434782608,2.194968553459119,0.0,0.13043478260869565,0.0,0.0,0.0,5.999316379546075,-319.0,Batsman
